,level2_annotated
Ep_Ca_nonstem,1749
Ep_Ca_stem,145
Fibro_FAP+,38
Fibro_FAP+_PDGFRalow,730
Fibro_FAP+_PDGFRalow_aSMAlow_PDGFRblow,435
Fibro_FAPlow,22
Fibro_FAPlow_PDGFRalow,466
Fibro_Neg,272
Fibro_PDGFRa+,45
Fibro_PDGFRalow,367
