,level2_annotated
Ep_Ca_nonstem,1410
Ep_Ca_stem,38
Fibro_FAP+,62
Fibro_FAP+_PDGFRalow,665
Fibro_FAP+_PDGFRalow_aSMAlow_PDGFRblow,318
Fibro_FAPlow,40
Fibro_FAPlow_PDGFRalow,476
Fibro_Neg,251
Fibro_PDGFRa+,13
Fibro_PDGFRalow,196
