Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
518,1,0,0,0,0.24,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.04,0,0.64,0.49,0,0.19,0,0,1,
519,1,0,0.7,0.828571,0,0,0,0.771429,0,0,0,0,0.0285714,0,0,0,0,0,0.457143,0,0,0.714286,0,1,0.928571,0.942857,0.585714,0.171429,0,1,
520,1,0,0.230088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884956,0,0,0.00884956,0,0.699115,0.442478,0.628319,0.230088,0,0.132743,1,
521,1,0,0,0.025974,0,0,0,0,0,0,0.103896,0.61039,0,0,0,0,0.571429,0,0.376623,0,0.246753,0,0,0,0.948052,0,0.441558,0.376623,0.87013,1,
522,1,0,0,0,0,0,0,0,0,0,0.276316,0.355263,0,0,0,0.0789474,0.276316,0,0.75,0.0131579,0,0,0,0,0.644737,0.131579,0.644737,0.328947,0.947368,1,
523,1,0.129032,0,0.241935,0.129032,0.0322581,0.0322581,0,0,0,0,0,0.016129,0,0,0,0,0,0.532258,0,0,0.0322581,0,0.983871,0.903226,0.193548,0.580645,0.0322581,0,1,
524,1,0,0,0.0265487,0,0.0176991,0,0,0,0,0,0.353982,0.0176991,0,0,0.0176991,0.469027,0,0.530973,0,0,0.159292,0,0.380531,0.946903,0.247788,0.477876,0.40708,0.920354,1,
525,1,0,0,0,0,0,0,0,0,0,0,0.137931,0,0,0,0.0689655,0.310345,0,1,0.0344828,0,0,0.0689655,0,0.965517,0,0.758621,0.586207,1,1,
526,1,0,0,0.0423729,0,0,0,0,0,0,0,0,0.0677966,0,0,0,0,0,0.372881,0,0,0.516949,0,0.864407,0.635593,0.457627,0.423729,0.0423729,0,1,
527,1,0,0,0,0,0,0,0,0,0,0,0,0.761905,0,0,0,0.047619,0,0,0,0.142857,0.0952381,0,0.690476,0.880952,0.97619,0,0,0.547619,1,
