Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943396,0,0.471698,0,0,0,0,1,1,0.962264,0.0754717,0,0,1,
37,1,0,0,0,0,0,0,0,0,0.0185185,0,1,0,0,0,0.425926,0,0,0.351852,0,0.481481,0.666667,0,0.407407,1,0.333333,0,0.462963,0.888889,1,
38,1,0,0,0,0.280488,0,0,0,0.109756,0,0,1,0,0.0731707,0,0.45122,0.670732,0.121951,0.426829,0,0.353659,0.670732,0,0.97561,1,0.304878,0.243902,0.585366,1,1,
39,1,0,0,0,0.0654206,0.0560748,0.140187,0,0,0.271028,0,0,0.0747664,0,0,0,0.0280374,0,0,0,0.0747664,0.102804,0,0.280374,0.158879,0.0934579,0,0.0186916,0,1,
40,1,0,0,0,0.172414,0.137931,0,0,0,0,0.0689655,0.655172,0,0,0.344828,0.551724,0.275862,0,1,0.37931,0.103448,0.689655,0.862069,0.965517,1,0,0.793103,0.551724,0.827586,1,
41,1,0,0,0,0.577778,0,0,0,0,0.266667,0.155556,1,0,0,0.888889,0.911111,0.888889,0,1,0.2,1,1,0.622222,1,1,0.133333,0.0666667,1,1,1,
42,1,0,0,0.339623,0.0566038,0.207547,0,0.283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358491,0.150943,0,0,0,0,1,
43,1,0,0,0,0,0,0.111111,0,0,0,0,0,0.755556,0,0,0,0,0,0.422222,0,0,0.111111,0,0,0.866667,0,0,0.577778,0,1,
44,1,0,0,0,0,0,0,0,0,0,0,0.272727,0,0.159091,0,0.159091,0.25,0.818182,0.954545,0,0.25,0.545455,0,0.545455,0.954545,0.0681818,0.386364,0.25,0.681818,1,
45,1,0,0,0,0.386364,0,0,0,0,0,0,0,0.227273,0,0,0,0,0,0,0,0.113636,0.75,0,0.863636,1,0.931818,0,0,0,1,
46,1,0,0,0,0.571429,0.047619,0,0,0,0,0.0952381,0.666667,0,0,0,0.571429,0.52381,0,1,0.952381,0.904762,0.619048,0.142857,0.952381,1,0,0.904762,0.666667,0.904762,1,
47,1,0,0,0,0,0,0,0,0.365854,0,0,0.780488,0,0,0,0.804878,0.097561,0.121951,0.536585,0,0.609756,1,0.317073,0.341463,1,0.414634,0.0731707,0.365854,0.926829,1,
48,1,0,0,0,0.149701,0,0,0,0,0,0,0.694611,0.0658683,0,0,0.640719,0.101796,0,0.317365,0,0.143713,0.101796,0,1,1,1,0,0.383234,0.778443,1,
49,1,0,0,0.0535714,0.0446429,0.00892857,0,0.0803571,0,0,0,0,0.0357143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951,0,0,0,0,0,0,0,1,
