Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1015,1,0.0194175,0,0.252427,0.0873786,0.0291262,0,0.252427,0,0,0,0,0,0,0,0,0,0,0.0970874,0,0,0.038835,0,0.533981,0.0291262,0.0485437,0.165049,0,0,1,
1016,1,0,0,0,0.0673077,0,0,0,0,0,0,0.490385,0,0,0,0.538462,0.490385,0,0.240385,0,0.192308,0.403846,0.0480769,0.115385,0.576923,0,0,0.278846,0.711538,1,
1017,1,0,0,0,0,0.0957447,0.43617,0,0,0,0,0,0.255319,0,0,0,0,0,0.404255,0,0.0319149,0,0,0.851064,0.425532,0,0.202128,0.106383,0,1,
1018,1,0.0285714,0,0.571429,0,0,0,0,0,0,0,0,0.0285714,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1,
1019,1,0,0,0,0.0654206,0,0.00934579,0,0,0,0,0.224299,0.046729,0.0934579,0,0.205607,0.11215,0,0.719626,0.0747664,0,0.00934579,0.00934579,0.64486,0.448598,0.121495,0.495327,0.28972,0.46729,1,
1020,1,0,0,0.0869565,0,0.0521739,0,0.121739,0,0,0,0,0.295652,0,0,0,0,0,0,0,0,0.026087,0,0.00869565,0.00869565,0,0,0,0,1,
1021,1,0,0,0.81,0.47,0.79,0,0,0,0.06,0.07,0,0,0,0,0.04,0,0,0,0,0,0,0,0.53,0.1,0,0,0.1,0,1,
1022,1,0,0,0.4375,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,1,
1023,1,0.0487805,0,0,0.426829,0.0609756,0,0,0,0.0487805,0,0,0,0,0,0,0,0,0,0,0,0.402439,0,0.670732,0.292683,0.45122,0,0,0,1,
1024,1,0,0.0128205,0.115385,0.128205,0.448718,0,0,0,0,0,0,0.0769231,0,0,0,0,0.217949,0.730769,0,0,0.512821,0,0.794872,0.461538,0.282051,0.5,0.0384615,0,1,
1025,1,0.27381,0,0.142857,0,0,0,0.214286,0,0.0595238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630952,0.0952381,0.25,0,0.0119048,0,1,
1026,1,0,0,0.422018,0,0,0,0.458716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917431,0,1,
1027,1,0,0,0,0.315126,0,0,0,0.928571,0.134454,0.0210084,0.609244,0.411765,0.117647,0,0.428571,0.340336,0,0,0,0.0252101,0.663866,0.495798,0.235294,1,0,0,0,1,1,
